Compound,Count,Date,Negative,Neutral,Positive,Tweet,User
-0.271,14,Tue Sep 25 21:10:56 +0000 2018,0.764,0.138,0.098,"RT @CBSAllAccess: A night of crime dramas?! Oh yes. 🙌 Stream @NCIS_CBS, @FBICBS &amp; @NCISNewOrleans starting at 8/7c on CBS All Access: https…",CBS
-0.226,15,Tue Sep 25 20:31:45 +0000 2018,0.909,0.091,0.0,"Before @FBICBS premieres tonight, @mperegrym stopped by @CBSThisMorning to talk about her role as an FBI agent in t… https://t.co/CPVki4Hv8y",CBS
0.0,16,Tue Sep 25 19:54:26 +0000 2018,1.0,0.0,0.0,RT @CBSAllAccess: 🚨 @PatrickBrammall. Tim Meadows. @jessicaalba. @iamgreenfield. @AHWAmySedaris. @ChrisGethard. @JoeManganiello. AND SO MAN…,CBS
0.79,17,Tue Sep 25 19:45:33 +0000 2018,0.709,0.0,0.291,RT @bigbangtheory: Happy #NationalComicBookDay from Sheldon and his many shirts! How are you sporting your favorite superhero today? #BigBa…,CBS
0.0,18,Tue Sep 25 18:34:26 +0000 2018,1.0,0.0,0.0,"⚡️ “Magnum P.I. Premieres on CBS”

https://t.co/UtbQlcDG8S",CBS
0.0,19,Tue Sep 25 18:05:31 +0000 2018,1.0,0.0,0.0,".@jay_hernandez went on @latelateshow to talk about @MagnumPICBS, but he may have gotten @TiffanyHaddish as a surf… https://t.co/a3acRu10aw",CBS
0.0,20,Mon Sep 24 18:56:15 +0000 2018,1.0,0.0,0.0,"RT @60Minutes: 60 Minutes turns 50 today. Tick, tick, tick ... https://t.co/3CVKEs9J7F",CBS
-0.226,21,Sun Sep 09 23:36:09 +0000 2018,0.917,0.083,0.0,"Due to an NFL overrun, CBS is delayed 17 mins in the following markets: Kansas City, Miami, Tampa, NOLA, New York,… https://t.co/9eXZ9mA1Xb",CBS
0.67,22,Sun Sep 09 14:00:00 +0000 2018,0.744,0.0,0.256,Are you ready for some football? 🏈 Stream your favorite NFL games LIVE on #CBSAllAccess today:… https://t.co/eHt8guHoyv,CBS
0.422,23,Sat Sep 08 16:20:43 +0000 2018,0.851,0.0,0.149,An unforgettable night of inspiring stories and performances highlighting the 10 years of impact #StandUpToCancer c… https://t.co/8bp2XNKwfH,CBS
0.0,24,Sat Sep 08 00:00:00 +0000 2018,1.0,0.0,0.0,The star-studded event is about to begin! Tune in now to watch #StandUpToCancer on CBS and @cbsallaccess. https://t.co/cD8TJuQBog,CBS
-0.541,25,Fri Sep 07 23:15:09 +0000 2018,0.712,0.196,0.092,"RT @cbsallaccess: Join #TellMeAStory's @daniellemcam, @BillyMagnussen &amp; Dorian Missick by standing up to cancer! Watch @SU2C tonight at 8/7…",CBS
